Names, Units, Usually Offered In: , Additional Information 
BIOL 1A. Introductory BIOL ogy,Units: 4,Fall / Spring,GE Area: B2
BIOL 1B. Introductory BIOL ogy,Units: 3,Fall / Spring,
BIOL 1BL. Introductory BIOL ogy Laboratory,Units: 1,Fall / Spring,
BIOL 10. Life Science,Units: 3,Fall / Spring,GE Area: B2
BIOL 11. Plant BIOL ogy,Units: 3,Fall / Spring,GE Area: B2
BIOL 12. Animal BIOL ogy,Units: 3,Fall / Spring,GE Area: B2
BIOL 20. Introductory MicroBIOL ogy,Units: 4,Fall / Spring,
BIOL 20N. Introductory MicroBIOL ogy,Units: 4,Fall / Spring,
BIOL 33. Introductory Human Anatomy and Physiology,Units: 5,Fall / Spring,
BIOL 67A. Human Anatomy & Physiology I,Units: 4,Fall / Spring,
BIOL 67B. Human Anatomy and Physiology II,Units: 4,Fall / Spring,
BIOL 101. General Ecology,Units: 3,Fall / Spring,
BIOL 101L. General Ecology Lab,Units: 1,Fall / Spring,
BIOL 102. Genetics,Units: 3,Fall / Spring,
BIOL 103. Cellular BIOL ogy,Units: 3,Fall / Spring,
BIOL 104. Genetics and Cell BIOL ogy Lab,Units: 1,Fall / Spring,
BIOL 105. Evolution,Units: 3,Fall / Spring,
BIOL 110. Human Ecology,Units: 3,,
BIOL 111H. Honors Experimental Design & Writing,Units: 1,Spring,
BIOL 112H. Honors Peer Instruction,Units: 1,Fall,
BIOL 113H. Honors Colloquium,Units: 1,Spring,
BIOL 119. Molecular Virology,Units: 3,,
BIOL 120. MicroBIOL ogy,Units: 4,Fall / Spring,
BIOL 121. Medical MicroBIOL ogy,Units: 3,Fall,
BIOL 122. Nonvascular Plants,Units: 3,,
BIOL 123. Phycology,Units: 4,,
BIOL 124. Vascular Plants,Units: 4,,
BIOL 125. Plant Taxonomy,Units: 4,,
BIOL 130. Invertebrate Zoology,Units: 4,Fall,
BIOL 131. Parasitology,Units: 4,Spring,
BIOL 132. General Entomology,Units: 3,Spring,
BIOL 133. Natural History of Vertebrates,Units: 4,,
BIOL 134. Ichthyology,Units: 3,,
BIOL 135. BIOL ogy of Reptiles and Birds,Units: 4,,
BIOL 136. Mammalogy,Units: 3,,
BIOL 140. Plant Anatomy,Units: 3,,
BIOL 141. Histology,Units: 4,,
BIOL 142. Vertebrate Embryology,Units: 4,,
BIOL 143. Comparative Vertebrate Morphology,Units: 4,Spring,
BIOL 144. Neuroanatomy,Units: 4,,
BIOL 150. Molecular BIOL ogy,Units: 3,Spring,
BIOL 151. Bioinformatics,Units: 3,Spring,
BIOL 152. Experimental Molecular Genetics,Units: 4,,
BIOL 153. Microbial Genetics,Units: 4,,
BIOL 155. Developmental BIOL ogy,Units: 4,Spring,
BIOL 156. Plant Growth and Development,Units: 3,Fall,
BIOL 157. Immunology,Units: 3,Fall,
BIOL 157L. Immunology Laboratory,Units: 3,,
BIOL 158. The BIOL ogy of Cancer,Units: 3,Fall,
BIOL 160. Microbial Physiology,Units: 4,,
BIOL 161. Plant Physiology,Units: 4,Fall / Spring,
BIOL 162. Comparative Animal Physiology,Units: 3,Fall / Spring,
BIOL 162L. Comparative Animal Physiology Lab,Units: 1,Fall / Spring,
BIOL 163. Advanced Human Physiology,Units: 3,,
BIOL 164. Hematology,Units: 3,Spring,
BIOL 165. Endocrinology,Units: 3,Spring,
BIOL 166. Neurophysiology,Units: 3,Fall,
BIOL 169L. Physiology Laboratory,Units: 1,Fall / Spring,
BIOL 170. Microbial Ecology,Units: 4,Spring,
BIOL 171. Terrestrial Ecology,Units: 4,Fall,
BIOL 172. Aquatic Ecology,Units: 4,Spring,
BIOL 173. Marine BIOL ogy,Units: 3,,
BIOL 174. Animal Behavior,Units: 3,Fall,
BIOL 175. Case Studies in Ecology,Units: 3,,
BIOL 176. Field Methods Ecology,Units: 3,,
BIOL 177. Conservation BIOL ogy,Units: 4,Spring,
BIOL 178. Systematic BIOL ogy and Macroevolution,Units: 4,Fall,
